Name,Affiliation,h-index,i10-index,Citations,College/Company,Research Interest 1,Research Interest 2
K.R. Rajagopal,Texas A&M University,96,497,36862,Texas A&M University,Continuum Mechanics,Non-Newtonian Fluids
KRS Chandrakumar,Bhabha Atomic Research Centre,25,40,2088,Bhabha Atomic Research Centre,Nuclear Physics,Radiation Safety
K R S Preethi Meher,Central University of Tamil Nadu,11,12,427,Central University of Tamil Nadu,Environmental Chemistry,Analytical Chemistry
K. R. Shamasundar,"Faculty, Department of Chemical Sciences.",10,10,917,Tata Institute of Fundamental Research,Chemical Biology,Organic Synthesis
Aarthi Uthayakumar,"Post-doctoral researcher, Hanyang University, South Korea",11,11,394,Hanyang University,Materials Science,Nanotechnology
Radhika K. Smith,Washington University in St. Louis,14,21,1342,Washington University in St. Louis,Neuroscience,Cognitive Psychology
Kirti Ranjan,"Department of Physics and Astrophysics, University of Delhi",234,1393,257834,University of Delhi,High Energy Physics,Particle Physics
"K.Ramamurthy, Ph.D.,","Professor, Building Tech.& Const. Mgt Div., Dept. of Civil Engg., IIT Madras, Chennai, India",44,69,9709,Indian Institute of Technology Madras,Building Technology,Construction Management
K. Ramesh Reddy,"Graduate Researh Professor, University of Florida",101,345,38848,University of Florida,Environmental Engineering,Water Resources Management
Kanwaljeet Singh Anand,"Professor of Pediatrics, Anesthesiology & Pain Medicine, Stanford University School of Medicine",97,227,41274,Stanford University,Neonatal Pain,Pediatric Critical Care
Kiret Dhindsa,"Postdoctoral Fellow, Charité Universitätsmedizin Berlin, Dept. Neurology",15,18,550,Charité Universitätsmedizin Berlin,Neurology,Neuroscience
Matthew Kalahasty Iyer,University of Michigan,30,41,11201,University of Michigan,Artificial Intelligence,Natural Language Processing
Dr. Manjunath Krishnappa,"Nitte Meenakshi Institute of Technology, Bengaluru, India",23,33,2239,Nitte Meenakshi Institute of Technology,Signal Processing,Wireless Communication
Radha Krishna Murthy Karuturi,"Director of Research Data & Analytics, Center for Health Systems Research, Sutter Health",35,55,12015,Sutter Health,Health Systems Research,Data Analytics
Priya Kumari Singh,"Research Scholar, National Institute of Technology Rourkela",19,64,2872,National Institute of Technology Rourkela,Materials Science,Nanotechnology
Vivek Kumar Rangarajan Sridhar,"Senior Member of Technical Staff, AT&T Labs - Research",52,270,13575,AT&T Labs - Research,Network Systems,Data Analytics
Kris Sankaran,University of Wisconsin - Madison,19,28,3613,University of Wisconsin - Madison,Data Science,Statistical Modeling
Karuppaiah Selvakumar,"International Research Professor (Assistant Professor), Yeungnam University, South Korea",20,32,1321,Yeungnam University,Materials Science,Nanotechnology
Sankar Kumar Pal,"National Science Chair, Indian Statistical Institute",86,286,38365,Indian Statistical Institute,Pattern Recognition,Soft Computing
Pramod K Srivastava PhD MD,University of Connecticut School of Medicine,88,216,34846,University of Connecticut School of Medicine,Cancer Immunotherapy,Vaccine Development
Kartik Srinivasan,"National Institute of Standards and Technology and Joint Quantum Institute, NIST/UMD",77,167,20025,National Institute of Standards and Technology,Quantum Optics,Nanophotonics
K V Subba Raju (MVGR CSE),Distinguished Assistant Professor of MVGR College of Engineering (A),2,1,60,MVGR College of Engineering,Artificial Intelligence,Data Mining
"Vidya K. Sudarshan, PhD","Lecturer, Nanyang Technological University, NTU, Singapore",30,40,3988,Nanyang Technological University,Education Technology,Learning Analytics
Kartik Sundareswaran,Thoratec Corporation,39,60,5887,Thoratec Corporation,Cardiovascular Devices,Mechanical Circulatory Support
Suresh K. Bhargava,"Disting. Professor & Director-CAMIC Centre, School of Science, RMIT University",90,502,29509,RMIT University,Nanotechnology,Catalysis
K Thirumaran,James Cook University Singapore,10,10,502,James Cook University Singapore,Tourism Management,Sustainable Development
Krishnan Thirumoorthy,Vellore Institute  of Technology (VIT),20,39,1202,Vellore Institute of Technology (VIT),Artificial Intelligence,Data Science
Dr. K V Gangadharan,"Professor of Mechanical Engineering, National Institute of Technology Karnataka, (NITK) Surathkal",24,58,2594,National Institute of Technology Karnataka,Mechanical Engineering,Thermal Engineering
Dr. K. V. Gobi,National Institute of Technology Warangal,38,72,4722,National Institute of Technology Warangal,Power Systems,Renewable Energy
Kershaw V. Patel,Houston Methodist,31,54,3213,Houston Methodist,Cardiovascular Diseases,Regenerative Medicine
Kolapalli Venkata Ramana Murthy,"Professor of Pharmaceutical Technology, A.U. College of Pharmaceutical Sciences, Andhra University",33,111,5148,Andhra University,Pharmaceutical Technology,Drug Delivery Systems
"Vaisakh, K","Professor of Electrical Engineering,Andhra University",19,42,1728,Andhra University,Power Systems,Renewable Energy
Dr.K.Visagavel,"Professor, Mechanical Engineering, Knowledge Institute of Technology, Salem, TN, India",9,8,380,Knowledge Institute of Technology,Mechanical Engineering,Thermal Engineering
Korada Viswanatha Sharma (K.V.Sharma),"Emeritus Professor, Jawaharlal Nehru Technological University",54,139,10817,Jawaharlal Nehru Technological University,Signal Processing,Wireless Communication
Kala Visvanathan,Johns Hopkins University,77,225,52300,Johns Hopkins University,Cancer Prevention,Breast Cancer Epidemiology
Kaushik Viswanathan Iyer,Johannes Gutenberg University,2,1,16,Johannes Gutenberg University,Computational Biology,Systems Biology
K.A.Reddy,"Professor of ECE, KITS Warangal",21,36,1954,Kakatiya Institute of Technology and Science (KITS) Warangal,Signal Processing,Communication Systems
Kirti Chandra Sahu,"Professor, Department of Chemical Engineering, Indian Institute of Technology Hyderabad, India",37,107,4735,Indian Institute of Technology Hyderabad,Fluid Dynamics,Interfacial Phenomena
Prof Prafulla Kumar  Behera,"Professor of Physics, Indian Institute of Technology Madras",218,1484,246998,Indian Institute of Technology Madras,Condensed Matter Physics,Quantum Materials
Ram Krishna Dewanjee,Post Doctoral Researcher,187,750,126924,Post Doctoral Researcher,Biomedical Engineering,Drug Delivery Systems
"elyas k k,","University of Calicut, Cochin University of Science and Technology",18,22,1180,University of Calicut,Computer Science,Data Mining
Kausik Kumar Ray,"Professor of Public Health, Imperial College London",121,334,178807,Imperial College London,Public Health,Epidemiology
K. K. Phani Kumar,Research Scholar,5,4,62,Research Scholar,Artificial Intelligence,Data Science
K Koteswara Rao,ICAR Research Complex for Eastern Region,18,26,1119,ICAR Research Complex for Eastern Region,Agricultural Research,Sustainable Farming Practices
Khumanthem Manglem Singh,National Insitute of Technology Manipur,26,90,5038,National Institute of Technology Manipur,Renewable Energy Systems,Power Electronics
Dr K P Ranjan,"Professor, Microbiology, Gajra Raja Medical College, Gwalior",10,11,691,Gajra Raja Medical College,Microbiology,Infectious Diseases
K Pratap Reddy,Sri Venkateswara University,6,6,289,Sri Venkateswara University,Environmental Chemistry,Analytical Chemistry
Siddalinga Murthy KR,Professor of Biochemistry in Bangalore University,11,14,342,Bangalore University,Biochemistry,Molecular Biology
Subrata kr.Debnath,"MEGHNAD SAHA INSTITUTE OF TECHNOLOGY,DEPARTMENT OF APPLIED MATHEMATICS,CU.",8,4,99,University of Calcutta,Applied Mathematics,Computational Mathematics
Guruprasad KR,Indian Institute of Technology Kanpur,14,17,586,Indian Institute of Technology Kanpur,Control Systems,Robotics
Rambabu K,Khalifa University UAE,50,104,8147,Khalifa University,Renewable Energy,Sustainable Development
Katta Murty,"Industrial and Operations Engineering, University of Michigan",38,79,14263,University of Michigan,Operations Research,Optimization Algorithms
Raju Kumar Gupta,"Professor, Department of Chemical Engineering, IIT Kanpur",48,116,11393,Indian Institute of Technology Kanpur,Chemical Engineering,Environmental Engineering
K. Rajender Reddy,University of Pennsylvania,126,591,95506,University of Pennsylvania,Hepatology,Liver Transplantation
Dipans Kumar Verma,"Reseacher at Amity University Mumbai, Mumbai",47,206,10001,Amity University Mumbai,Artificial Intelligence,Data Science
K Sankara Rao,Acharya N.G Ranga Agricultural University,6,3,80,Acharya N.G Ranga Agricultural University,Agricultural Sciences,Crop Improvement
Dr. K.S.N. Murthy,Sr. General Manager -  Amararaja Batteries Limited,9,9,579,Amararaja Batteries Limited,Battery Technology,Energy Storage Systems
K S R K Murthy,Professor of Mechanical Engineering,14,18,528,Indian Institute of Technology Madras,Heat Transfer,Fluid Dynamics
RAGHU KUMAR K S,VTU BELAGAVI,5,2,79,VTU Belagavi,Power Systems,Renewable Energy
K.S. Babu,Oklahoma State University,80,240,75905,Oklahoma State University,Particle Physics,Beyond the Standard Model Physics
Adarsh K V,IISER Bhopal,24,63,2390,IISER Bhopal,Condensed Matter Physics,Quantum Materials
Kailash Singh,Malaviya National Institute of Technology Jaipur,24,39,2821,Malaviya National Institute of Technology Jaipur,Renewable Energy Systems,Power Electronics
Dr.Kajla Basu,Professor,14,17,756,University of Calcutta,Environmental Science,Climate Change
Spyros Kalams,Vanderbilt University Medical Center,63,131,19406,Vanderbilt University Medical Center,Immunology,Vaccine Development
Vitezslav Kala,Charles University,13,17,555,Charles University,Number Theory,Algebraic Number Theory
DR.S.KALPANA,Amet university,16,19,1196,Amet University,Environmental Science,Sustainable Development
Kalpesh Kapoor,"Professor, Indian Institute of Technology Guwahati",11,11,867,Indian Institute of Technology Guwahati,Fluid Dynamics,Heat Transfer
Kalyan Kumar Chattopadhyay,"Professor, Jadavpur University",65,341,16215,Jadavpur University,Nanomaterials,Energy Storage
Kamlesh Tiwari,Birla Institute of Technology and Science Pilani,19,45,1749,Birla Institute of Technology and Science Pilani,Materials Science,Nanotechnology
Kamlesh Dutta,National Institute of Technology Hamirpur (HP) India,22,48,1955,National Institute of Technology Hamirpur,Data Mining,Information Security
Kanika Sharma,"Professor of Botany, Mohanlal sukhadia university, Udaipur",21,37,2827,Mohanlal Sukhadia University,Botany,Plant Physiology
Kannan Iyer,"Professor of mechanical Engineering, Indian Institute of Technology Bombay",19,35,1341,Indian Institute of Technology Bombay,Fluid Mechanics,Heat Transfer
Vijay Kannan,Utah State University,33,43,8391,Utah State University,Supply Chain Management,Operations Research
Dr. Kanupriya Sachdev,"Professor, Department of Physics & Materials Research Centre, MNIT, Jaipuir",21,33,1764,Malaviya National Institute of Technology (MNIT),Materials Science,Condensed Matter Physics
Kapil Ahuja,"Professor of Computer Science & Engineering, IIT Indore",15,20,579,IIT Indore,Machine Learning,Data Mining
KAPIL CHAUDHARY,Bipin Triphathi Kumaun Institute of Technology,6,6,1168,Bipin Triphathi Kumaon Institute of Technology,Renewable Energy,Power Systems
Dr. Kapil Dave,University of Illinois Urbana-Champaign,10,10,388,University of Illinois Urbana-Champaign,Materials Science,Nanotechnology
Kapil Sharma,"Professor in Department of Information Technology, Delhi Technological University",29,75,3213,Delhi Technological University,Information Technology,Data Science
Kapil Mehta,UT M.D. Anderson Cancer Center (Retired),69,172,15972,UT M.D. Anderson Cancer Center,Cancer Biology,Immunology
kapil dev sharma,"Asstt. Professor of Electrical Engg., DGI, Gr. Noida India",38,137,8046,Dr. A.P.J. Abdul Kalam Technical University,Power Systems,Renewable Energy
Manoj Kumar Sharma,"Assistant Professor of Agricultural Statistics at Sri Karan Narendra Agriculture University, Jobner",36,213,7649,Sri Karan Narendra Agriculture University,Agricultural Statistics,Data Analysis in Agriculture
Karthikeyan Natesan Ramamurthy,"Research Staff Member, IBM Thomas J Watson Research Center, Yorktown Heights, NY",34,80,7935,IBM Thomas J Watson Research Center,Artificial Intelligence,Data Science
Mr.M.P.KARTHIKEYAN,"Assistant Professor, School of Computer Science and IT, JAIN (Deemed-to-be University), Bengaluru",12,15,613,JAIN (Deemed-to-be University),Computer Science,Information Technology
Karthikeyan Rajagopal,"Director - Research, SRM Group of Institutions (Chennai Ramapuram & Trichy Campus), India.",50,256,10087,SRM Group of Institutions,Nonlinear Dynamics,Chaos Theory
Kashi Vishwanath Revanna,"Indiana University, University of North Texas",8,7,1189,Indiana University,Cybersecurity,Data Privacy
DR.M.KASI MAYAN,Professor of Mathematics,3,0,17,Annamalai University,Fluid Dynamics,Mathematical Modeling
Kasthurirangan Gopalakrishnan,Iowa State University,39,154,7187,Iowa State University,Sustainable Infrastructure,Advanced Materials for Construction
Dr.Madhu Bala Kaushik,Manipal University Jaipur,2,0,9,Manipal University Jaipur,Environmental Science,Sustainable Development
Kaushik Biswas,Bose Institute,28,30,7110,Bose Institute,Biophysics,Structural Biology
Kaushik Debnath,"Research Scholar, Vidyasagar University",2,1,52,Vidyasagar University,Environmental Science,Sustainable Development
Dr. Kaushik Nag,"Assistant Professor, Tripura Medical College",11,12,339,Tripura Medical College,Medical Education,Public Health
Kaustav Bakshi,"Associate Professor, Department of English, Jadavpur University",10,10,234,Jadavpur University,Postcolonial Studies,Gender and Sexuality Studies
Kaustav Banerjee,"UC Santa Barbara, Stanford University, UC Berkeley",87,342,33730,UC Santa Barbara,Nanoelectronics,Energy-Efficient Computing
Kaustav Mukherjee,Professor at IIT Mandi,20,34,1132,IIT Mandi,Materials Science,Nanotechnology
Kavitha Venkatesan,"Novartis Institutes for Biomedical Research, Boston University, Dana-farber Cancer Institute",22,24,26007,Novartis Institutes for Biomedical Research,Cancer Biology,Drug Discovery
Dr T.Kavitha Raj,New Horizon College of Engineering,8,5,568,New Horizon College of Engineering,Data Science,Artificial Intelligence
Paul D. Kenny,"Professor, Australian Catholic University",15,18,1373,Australian Catholic University,Political Science,Public Policy
Chandrasekharan Kesavadas,"Professor (Senior Grade) of Radiology, Sree Chitra Tirunal Institute(SCTIMST), Kerala, India",46,171,8294,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Radiology,Medical Imaging
Dr.Kezia joseph Mosiganti,"Professor, Stanley College of Engineering and Technology for Women,Osmania University, Hyderabad",6,5,111,Osmania University,Engineering Education,Women in STEM
Kiran Bala,"Professor, IIT Indore",27,50,4147,IIT Indore,Condensed Matter Physics,Quantum Materials
Kirankumar S Mysore,Professor at Oklahoma State University,83,232,20837,Oklahoma State University,Plant Pathology,Molecular Genetics
